Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
14-3-3 protein-like protein  ;1 ;0 ;0 ;1 ;0 ;0 ;1 ;1
2-3-bisphosphoglycerate-independent phosphoglycerate mutase  ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
3'-nucleotidase/nuclease  ;0 ;1 ;1 ;1 ;0 ;1 ;1 ;1
40S ribosomal protein S24  ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0
40S ribosomal protein S3a  ;0 ;0 ;0 ;1 ;0 ;1 ;0 ;0
40S ribosomal protein S6  ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;0
40S ribosomal protein S8  ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;0
6-phosphogluconolactonase  ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
60S ribosomal protein L11  ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0
Acetyl-coenzyme A synthetase  ;1 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Aconitate hydratase  ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1
Actin ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Adenosylhomocysteinase  ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
ADP-ribosylation factor-like protein  ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Alanine--tRNA ligase  ;1 ;0 ;0 ;1 ;0 ;1 ;1 ;1
Amastin-like protein  ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Aminopeptidase  ;1 ;1 ;0 ;1 ;1 ;0 ;0 ;1
ATP synthase subunit beta  ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
ATP-dependent 6-phosphofructokinase  ;1 ;0 ;0 ;1 ;1 ;0 ;1 ;1
Autophagy-related protein  ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Autophagy-related protein  ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;1
Autophagy-related protein  ;1 ;1 ;0 ;1 ;0 ;1 ;1 ;1
Biotin/lipoate protein ligase-like protein  ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Clathrin heavy chain  ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1
Cluster of 6-phosphogluconate dehydrogenase decarboxylating  ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Calpain-like cysteine peptidase  ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Glyceraldehyde-3-phosphate dehydrogenase  ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of GP63 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Histone H2A  ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0
Cluster of Histone H2B  ;1 ;0 ;1 ;0 ;1 ;1 ;1 ;0
Cluster of Histone H4  ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Kinesin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0800 PE=3 SV=1 (E9AR52_LEIMU) ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Cluster of Kinesin-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_23_0560 PE=3 SV=1 (E9AW71_LEIMU) ;1 ;0 ;0 ;0 ;1 ;0 ;0 ;1
Cluster of Plasma membrane ATPase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_18_1520 PE=3 SV=1 (E9ART6_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Putative calpain-like cysteine peptidase (Fragment) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_27_0490 PE=3 SV=1 (E9AYV1_LEIMU) ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Cluster of Putative heat-shock protein hsp70 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_28_2770 PE=3 SV=1 (E9B099_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Putative NADH-dependent fumarate reductase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_1180 PE=4 SV=1 (E9B5Z7_LEIMU) ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Cluster of Putative proteophosphoglycan ppg3 (Fragment) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_0500 PE=4 SV=1 (E9B5T5_LEIMU) ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of Pyruvate kinase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_34_0030 PE=3 SV=1 (E9B5P1_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Receptor-type adenylate cyclase a OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0200 PE=4 SV=1 (E9ARD7_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Sodium stibogluconate resistance protein putative OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0930 PE=4 SV=1 (E9B1P3_LEIMU) ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of Surface antigen-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0190 PE=4 SV=1 (E9AK01_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Tryparedoxin peroxidase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_1160 PE=4 SV=1 (E9AQA6_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Tubulin beta chain OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_1171 PE=3 SV=1 (E9AMJ9_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_07_0840 PE=4 SV=1 (E9ALA1_LEIMU) ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1500 PE=4 SV=1 (E9ALS3_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
Cluster of Uncharacterized protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_17_0870 PE=4 SV=1 (E9AR60_LEIMU) ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1
Cluster of WGS CADB00000000 data_ contig 72 (Fragment) OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LmxM_32_3070a_1 PE=4 SV=1 (E8NHN7_LEIMU) ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1
